FireFamily Plus Hourly Listing Report
Hourly Listing of Selected Values

FF+4.2 build 24.19 05/31/2018-13:00
   printed on: 05/31/2018   at  01:00:57 PM
   using database: K:\Tier3\Weather\Production\Missouri\Fort Leonard Wood\FortLeonardWood

------------------------------------------------------
Active Working Set:
   Station: 992903  - Roby                
   Data years:  2005 - 2006
   Analysis Period Length: 1 days
   Annual filter dates:  January 1  thru  December 31
------------------------------------------------------
Station Details:
   992903 Roby                   Fuel model: E   (Use 88?: N)

   Slope class: 2   Climate class: 2   Greenup: 04/15   Freeze: 12/31
   Start KBDI: 409  Start FM1000:21   Avg. Precip: 48.60
   FM1 = FM10?  N   Herb Annual?   N   Deciduous?  N
   Aspect:      0   Slope posit.:      Elevation: 1284
   Latitude:   38.00   Longitude: 0.00
   Weighed Stick Moistures Used:   Yes
   SOW:       Use SR_SOW if SOW is Missing
   WetFlag:   Use SR_WetFlag if WetFlag is Missing
------------------------------------------------------

DATE       Time  KBDI 
02/20/2005 1800   451 
02/21/2005 0500   451 
02/21/2005 0800   451 
02/21/2005 0900   451 
02/21/2005 1000   451 
02/21/2005 1100   451 
02/21/2005 1200   451 
02/21/2005 1400   451 
02/21/2005 1500   451 
02/21/2005 1600   451 
02/21/2005 1700   451 
02/21/2005 1900   451 
02/22/2005 0500   451 
02/22/2005 0600   451 
02/22/2005 0700   451 
02/22/2005 0900   451 
02/22/2005 1100   451 
02/22/2005 1200   451 
02/22/2005 1300   452 
02/22/2005 1400   452 
02/22/2005 1500   452 
02/22/2005 1600   452 
02/22/2005 1700   452 
02/22/2005 1800   452 
02/22/2005 1900   452 
02/23/2005 0500   452 
02/23/2005 0600   452 
02/23/2005 1000   452 
02/23/2005 1100   452 
02/23/2005 1700   452 
02/24/2005 0500   452 
02/24/2005 0600   452 
02/24/2005 0700   452 
02/24/2005 0800   452 
02/24/2005 1100   452 
02/24/2005 1200   452 
02/24/2005 1300   452 
02/24/2005 1400   452 
02/24/2005 1500   452 
02/24/2005 1700   452 
02/24/2005 1800   452 
02/24/2005 1900   452 
02/25/2005 0500   452 
02/25/2005 0600   452 
02/25/2005 0700   452 
02/25/2005 0800   452 
02/25/2005 0900   452 
02/25/2005 1000   452 
02/25/2005 1100   452 
02/25/2005 1200   452 
02/25/2005 1300   453 
02/25/2005 1400   453 
02/25/2005 1700   453 
02/25/2005 1800   453 
02/26/2005 0600   453 
02/26/2005 0700   453 
02/26/2005 0800   453 
02/26/2005 0900   453 
02/26/2005 1000   453 
02/26/2005 1100   453 
02/26/2005 1200   453 
02/26/2005 1300   455 
02/27/2005 1000   455 
02/27/2005 1100   455 
02/27/2005 1200   455 
02/27/2005 1300   456 
02/27/2005 1400   456 
02/27/2005 1500   456 
02/27/2005 1600   456 
02/27/2005 1700   456 
02/27/2005 1800   456 
02/28/2005 0500   456 
02/28/2005 0700   456 
02/28/2005 0800   456 
02/28/2005 0900   456 
02/28/2005 1000   456 
02/28/2005 1300   457 
02/28/2005 1400   457 
02/28/2005 1500   457 
02/28/2005 1800   457 
02/28/2005 1900   457 
03/01/2005 0500   457 
03/01/2005 0700   457 
03/01/2005 0800   457 
03/01/2005 0900   457 
03/01/2005 1000   457 
03/01/2005 1100   457 
03/01/2005 1200   457 
03/01/2005 1300   460 
03/01/2005 1400   460 
03/01/2005 1500   460 
03/01/2005 1600   460 
03/01/2005 1700   460 
03/01/2005 1800   460 
03/01/2005 1900   460 
03/01/2005 2000   460 
03/02/2005 0500   460 
03/02/2005 0700   460 
03/02/2005 0800   460 
03/02/2005 0900   460 
03/02/2005 1000   460 
03/02/2005 1100   460 
03/02/2005 1200   460 
03/02/2005 1800   460 
03/02/2005 1900   460 
03/02/2005 2000   460 
03/03/2005 0500   460 
03/03/2005 0600   460 
03/03/2005 0700   460 
03/03/2005 0800   460 
03/03/2005 0900   460 
03/03/2005 1000   460 
03/03/2005 1100   460 
03/03/2005 1300   462 
03/03/2005 1800   462 
03/04/2005 0500   462 
03/04/2005 0600   462 
03/04/2005 0700   462 
03/04/2005 0800   462 
03/04/2005 0900   462 
03/04/2005 1000   462 
03/04/2005 1100   462 
03/04/2005 1200   462 
03/04/2005 1600   462 
03/04/2005 1700   462 
03/04/2005 1800   462 
03/04/2005 1900   462 
03/05/2005 0600   462 
03/05/2005 0700   462 
03/05/2005 0900   462 
03/05/2005 1000   462 
03/05/2005 1100   462 
03/05/2005 1200   462 
03/05/2005 1300   464 
03/06/2005 1000   464 
03/06/2005 1100   464 
03/06/2005 1200   464 
03/06/2005 1300   468 
03/06/2005 1400   468 
03/06/2005 1700   468 
03/06/2005 1800   468 
03/07/2005 0500   468 
03/07/2005 0700   468 
03/07/2005 0800   468 
03/07/2005 0900   468 
03/07/2005 1000   468 
03/07/2005 1300   471 
03/07/2005 1400   471 
03/07/2005 1500   471 
03/07/2005 1600   471 
03/07/2005 1700   471 
03/07/2005 1800   471 
03/07/2005 1900   471 
03/07/2005 2000   471 
03/08/2005 0500   471 
03/08/2005 0700   471 
03/08/2005 0800   471 
03/08/2005 0900   471 
03/08/2005 1000   471 
03/08/2005 1100   471 
03/08/2005 1200   471 
03/08/2005 1300   471 
03/08/2005 1400   471 
03/08/2005 1500   471 
03/08/2005 1600   471 
03/08/2005 1700   471 
03/08/2005 1900   471 
03/09/2005 0500   471 
03/09/2005 0900   471 
03/09/2005 1000   471 
03/09/2005 1100   471 
03/09/2005 1200   471 
03/09/2005 1300   471 
03/09/2005 1600   471 
03/09/2005 1700   471 
03/09/2005 1800   471 
03/09/2005 1900   471 
03/09/2005 2000   471 
03/10/2005 0500   471 
03/10/2005 0700   471 
03/10/2005 0800   471 
03/10/2005 0900   471 
03/10/2005 1100   471 
03/10/2005 1200   471 
03/10/2005 1300   472 
03/10/2005 1400   472 
03/10/2005 1500   472 
03/10/2005 1600   472 
03/10/2005 1700   472 
03/10/2005 1800   472 
03/10/2005 1900   472 
03/10/2005 2000   472 
03/11/2005 0500   472 
03/11/2005 0600   472 
03/11/2005 0800   472 
03/11/2005 0900   472 
03/11/2005 1000   472 
03/11/2005 1100   472 
03/11/2005 1200   472 
03/11/2005 1400   472 
03/11/2005 1500   472 
03/12/2005 0600   472 
03/12/2005 0700   472 
03/12/2005 0800   472 
03/12/2005 0900   472 
03/12/2005 1000   472 
03/12/2005 1100   472 
03/12/2005 1200   472 
03/12/2005 1300   477 
03/12/2005 1400   477 
03/13/2005 1000   477 
03/13/2005 1100   477 
03/13/2005 1200   477 
03/13/2005 1300   482 
03/13/2005 1500   482 
03/13/2005 1600   482 
03/13/2005 1800   482 
03/14/2005 0500   482 
03/14/2005 0700   482 
03/14/2005 0800   482 
03/14/2005 0900   482 
03/14/2005 1000   482 
03/14/2005 1100   482 
03/14/2005 1300   483 
03/14/2005 1400   483 
03/14/2005 1500   483 
03/14/2005 1600   483 
03/14/2005 1700   483 
03/14/2005 1800   483 
03/14/2005 1900   483 
03/14/2005 2000   483 
03/15/2005 0500   483 
03/15/2005 0600   483 
03/15/2005 0700   483 
03/15/2005 0800   483 
03/15/2005 0900   483 
03/15/2005 1000   483 
03/15/2005 1100   483 
03/15/2005 1300   484 
03/15/2005 1500   484 
03/15/2005 1600   484 
03/15/2005 1800   484 
03/15/2005 2000   484 
03/16/2005 0500   484 
03/16/2005 0600   484 
03/16/2005 0700   484 
03/16/2005 0800   484 
03/16/2005 0900   484 
03/16/2005 1000   484 
03/16/2005 1100   484 
03/16/2005 1200   484 
03/16/2005 1800   484 
03/16/2005 1900   484 
03/16/2005 2000   484 
03/17/2005 0500   484 
03/17/2005 0600   484 
03/17/2005 0700   484 
03/17/2005 0800   484 
03/17/2005 0900   484 
03/17/2005 1000   484 
03/17/2005 1100   484 
03/17/2005 1200   484 
03/17/2005 1800   484 
03/17/2005 2000   484 
03/18/2005 0500   484 
03/18/2005 0600   484 
03/18/2005 0700   484 
03/18/2005 0800   484 
03/18/2005 0900   484 
03/18/2005 1000   484 
03/18/2005 1100   484 
03/18/2005 1200   484 
03/18/2005 1800   484 
03/19/2005 0600   484 
03/19/2005 0700   484 
03/19/2005 0800   484 
03/19/2005 0900   484 
03/19/2005 1000   484 
03/19/2005 1100   484 
03/19/2005 1200   484 
03/19/2005 1300   485 
03/19/2005 1400   485 
03/20/2005 1000   485 
03/20/2005 1100   485 
03/20/2005 1200   485 
03/20/2005 1300   486 
03/20/2005 1400   486 
03/20/2005 1600   486 
03/20/2005 1700   486 
03/20/2005 1800   486 
03/21/2005 0500   486 
03/21/2005 0700   486 
03/21/2005 0800   486 
03/21/2005 0900   486 
03/21/2005 1000   486 
03/21/2005 1200   486 
03/21/2005 1400   486 
03/21/2005 1500   486 
03/21/2005 1600   486 
03/21/2005 1700   486 
03/21/2005 1800   486 
03/21/2005 1900   486 
03/21/2005 2000   486 
03/22/2005 0500   486 
03/22/2005 0700   486 
03/22/2005 1100   486 
03/22/2005 1200   486 
03/22/2005 1500   486 
03/22/2005 1600   486 
03/22/2005 1700   486 
03/22/2005 1900   486 
03/23/2005 0500   486 
03/23/2005 1100   486 
03/23/2005 1300   486 
03/23/2005 1500   486 
03/23/2005 1600   486 
03/24/2005 0500   486 
03/24/2005 0700   486 
03/24/2005 0900   486 
03/24/2005 1000   486 
03/24/2005 1200   486 
03/24/2005 1300   486 
03/24/2005 1400   486 
03/24/2005 1600   486 
03/24/2005 1900   486 
03/24/2005 2000   486 
03/25/2005 0500   486 
03/25/2005 0600   486 
03/25/2005 0700   486 
03/25/2005 0800   486 
03/25/2005 1000   486 
03/25/2005 1100   486 
03/25/2005 1400   486 
03/25/2005 1600   486 
03/25/2005 1800   486 
03/26/2005 0600   486 
03/27/2005 1000   486 
03/27/2005 1100   486 
03/27/2005 1300   486 
03/27/2005 1400   486 
03/27/2005 1500   486 
03/27/2005 1600   486 
03/27/2005 1800   486 
03/28/2005 0500   486 
03/28/2005 0600   486 
03/28/2005 0700   486 
03/28/2005 0800   486 
03/28/2005 0900   486 
03/28/2005 1000   486 
03/28/2005 1100   486 
03/28/2005 1300   488 
03/28/2005 1500   488 
03/28/2005 1600   488 
03/28/2005 1700   488 
03/28/2005 1800   488 
03/28/2005 1900   488 
03/28/2005 2000   488 
03/29/2005 0500   488 
03/29/2005 0700   488 
03/29/2005 0800   488 
03/29/2005 0900   488 
03/29/2005 1000   488 
03/29/2005 1100   488 
03/29/2005 1300   492 
03/29/2005 1400   492 
03/29/2005 1600   492 
03/29/2005 1700   492 
03/29/2005 1800   492 
03/29/2005 1900   492 
03/29/2005 2000   492 
03/30/2005 0500   492 
03/30/2005 0700   492 
03/30/2005 0800   492 
03/30/2005 0900   492 
03/30/2005 1000   492 
03/30/2005 1100   492 
03/30/2005 1300   497 
03/30/2005 1400   497 
03/30/2005 1500   497 
